iter	Passed	Remaining
0	145	145151
1	146	73088
2	147	49039
3	148	36967
4	149	29721
5	150	24887
6	151	21442
7	152	18862
8	153	16848
9	153	15236
10	154	13915
11	155	12834
12	156	11903
13	157	11106
14	158	10418
15	159	9807
16	160	9263
17	160	8780
18	161	8349
19	162	7963
20	163	7614
21	164	7295
22	164	7005
23	165	6750
24	167	6513
25	167	6289
26	168	6082
27	169	5892
28	170	5713
29	171	5546
30	172	5402
31	173	5255
32	174	5117
33	175	4985
34	176	4863
35	177	4751
36	178	4642
37	179	4534
38	179	4432
39	180	4334
40	181	4244
41	182	4163
42	183	4083
43	184	4006
44	185	3934
45	186	3866
46	187	3803
47	188	3746
48	189	3682
49	190	3620
50	191	3563
51	192	3513
52	193	3463
53	194	3412
54	195	3366
55	197	3323
56	198	3280
57	199	3237
58	200	3195
59	201	3154
60	202	3113
61	203	3072
62	204	3034
63	204	2996
64	205	2959
65	206	2923
66	207	2887
67	208	2853
68	209	2823
69	210	2791
70	210	2760
71	211	2730
72	212	2702
73	213	2673
74	214	2644
75	215	2615
76	216	2589
77	217	2565
78	217	2541
79	218	2516
80	220	2498
81	221	2478
82	221	2450
83	222	2428
84	223	2406
85	224	2384
86	225	2363
87	226	2342
88	226	2322
89	227	2303
90	228	2284
91	229	2264
92	230	2246
93	231	2227
94	231	2209
95	232	2191
96	233	2174
97	234	2157
98	235	2139
99	236	2124
100	236	2107
101	237	2090
102	238	2075
103	239	2061
104	240	2047
105	241	2033
106	242	2019
107	242	2005
108	243	1991
109	244	1977
110	245	1963
111	245	1949
112	246	1936
113	247	1922
114	248	1910
115	249	1898
116	249	1885
117	250	1873
118	251	1861
119	252	1849
120	253	1839
121	254	1828
122	255	1818
123	255	1808
124	256	1798
125	257	1788
126	258	1776
127	259	1766
128	260	1756
129	260	1746
130	261	1736
131	262	1726
132	263	1717
133	264	1708
134	265	1699
135	265	1689
136	266	1680
137	267	1671
138	268	1663
139	269	1654
140	270	1646
141	270	1636
142	271	1628
143	272	1621
144	273	1612
145	274	1604
146	275	1596
147	275	1588
148	276	1580
149	277	1572
150	278	1564
151	279	1557
152	279	1549
153	280	1542
154	281	1535
155	282	1528
156	283	1521
157	284	1515
158	285	1509
159	286	1502
160	286	1493
161	287	1487
162	288	1481
163	289	1474
164	290	1468
165	291	1462
166	291	1455
167	292	1449
168	293	1442
169	294	1436
170	295	1430
171	295	1424
172	296	1418
173	297	1412
174	298	1407
175	299	1402
176	300	1396
177	301	1390
178	301	1384
179	302	1378
180	303	1371
181	303	1365
182	304	1359
183	305	1354
184	306	1349
185	307	1343
186	307	1338
187	308	1333
188	309	1328
189	310	1323
190	311	1318
191	312	1313
192	313	1309
193	314	1304
194	314	1299
195	315	1295
196	316	1290
197	317	1285
198	318	1280
199	319	1276
200	319	1271
201	320	1267
202	321	1262
203	322	1258
204	323	1253
205	324	1249
206	324	1244
207	325	1240
208	326	1236
209	327	1232
210	328	1229
211	329	1224
212	330	1220
213	331	1216
214	331	1211
215	332	1208
216	333	1204
217	334	1199
218	335	1195
219	336	1191
220	336	1187
221	337	1182
222	338	1178
223	339	1175
224	340	1171
225	340	1167
226	341	1164
227	342	1160
228	343	1157
229	344	1153
230	345	1150
231	346	1147
232	347	1144
233	348	1142
234	350	1140
235	351	1137
236	352	1133
237	352	1129
238	353	1126
239	354	1123
240	355	1120
241	356	1117
242	357	1113
243	358	1109
244	359	1106
245	359	1103
246	360	1100
247	361	1097
248	362	1094
249	363	1091
250	364	1088
251	365	1084
252	366	1081
253	366	1077
254	367	1074
255	368	1071
256	369	1067
257	370	1065
258	371	1061
259	371	1058
260	373	1057
261	374	1055
262	375	1052
263	376	1050
264	377	1047
265	378	1044
266	379	1041
267	380	1038
268	381	1035
269	381	1032
270	383	1030
271	384	1028
272	385	1026
273	386	1024
274	387	1021
275	388	1019
276	389	1016
277	390	1014
278	391	1011
279	392	1008
280	393	1006
281	394	1003
282	394	1000
283	395	997
284	396	995
285	397	993
286	398	990
287	399	988
288	400	986
289	402	984
290	403	982
291	403	979
292	404	976
293	405	973
294	406	970
295	407	968
296	407	965
297	408	962
298	409	960
299	410	958
300	411	955
301	412	953
302	413	951
303	414	949
304	415	946
305	416	944
306	417	942
307	418	939
308	419	937
309	420	935
310	420	932
311	421	930
312	422	927
313	423	925
314	424	923
315	425	920
316	426	918
317	427	917
318	428	914
319	429	913
320	430	910
321	431	908
322	432	906
323	433	904
324	434	901
325	435	899
326	435	897
327	436	894
328	437	892
329	438	889
330	438	887
331	439	885
332	441	883
333	442	881
334	443	879
335	444	877
336	445	875
337	446	874
338	447	872
339	448	870
340	449	867
341	449	865
342	450	863
343	452	862
344	453	860
345	454	858
346	455	857
347	456	854
348	457	853
349	458	851
350	459	849
351	460	847
352	461	845
353	462	843
354	463	841
355	464	839
356	464	837
357	466	835
358	466	833
359	467	831
360	469	830
361	470	828
362	471	826
363	472	824
364	473	823
365	474	821
366	475	819
367	476	817
368	476	815
369	477	813
370	478	811
371	479	809
372	480	807
373	481	805
374	482	804
375	483	802
376	484	800
377	485	798
378	486	796
379	487	795
380	488	793
381	489	791
382	490	789
383	490	787
384	491	785
385	492	783
386	493	781
387	494	779
388	495	777
389	496	775
390	496	773
391	498	772
392	499	770
393	500	769
394	501	767
395	502	765
396	503	764
397	503	762
398	504	760
399	505	758
400	506	756
401	507	754
402	508	753
403	509	751
404	510	749
405	510	747
406	511	745
407	512	744
408	513	742
409	514	740
410	516	739
411	517	738
412	518	736
413	519	734
414	520	733
415	521	731
416	522	729
417	522	728
418	523	726
419	524	724
420	526	723
421	527	722
422	528	720
423	529	719
424	530	717
425	531	716
426	532	714
427	533	712
428	534	711
429	535	709
430	536	707
431	536	706
432	537	704
433	538	702
434	539	700
435	540	699
436	541	698
437	542	696
438	543	695
439	545	693
440	546	692
441	546	690
442	547	688
443	548	687
444	549	685
445	550	684
446	551	682
447	552	681
448	553	679
449	555	678
450	556	677
451	557	675
452	558	674
453	559	673
454	560	671
455	561	670
456	562	668
457	563	666
458	564	665
459	565	663
460	566	662
461	567	660
462	568	658
463	569	657
464	570	656
465	571	654
466	572	653
467	573	651
468	574	650
469	575	649
470	576	647
471	577	646
472	578	644
473	579	642
474	579	641
475	580	639
476	581	637
477	582	636
478	584	635
479	585	633
480	585	632
481	587	630
482	588	629
483	589	627
484	589	626
485	590	624
486	591	623
487	592	621
488	593	620
489	594	618
490	595	616
491	595	615
492	596	613
493	598	612
494	598	611
495	599	609
496	600	608
497	601	606
498	602	605
499	603	603
500	604	602
501	605	600
502	606	599
503	607	597
504	608	596
505	609	594
506	609	593
507	610	591
508	611	590
509	612	588
510	613	587
511	614	586
512	615	584
513	616	583
514	617	581
515	618	580
516	619	579
517	620	577
518	621	576
519	622	574
520	623	573
521	624	571
522	625	570
523	626	568
524	627	567
525	628	566
526	629	564
527	630	563
528	630	561
529	631	560
530	632	558
531	633	557
532	634	555
533	635	554
534	635	552
535	636	551
536	637	549
537	638	548
538	639	546
539	640	545
540	641	543
541	642	542
542	643	541
543	644	540
544	645	538
545	646	537
546	646	535
547	647	534
548	648	532
549	649	531
550	650	530
551	651	528
552	652	527
553	653	525
554	653	524
555	654	522
556	655	521
557	656	520
558	657	518
559	658	517
560	659	516
561	660	515
562	661	513
563	662	512
564	663	510
565	664	509
566	665	507
567	665	506
568	666	505
569	667	503
570	668	502
571	669	501
572	670	499
573	671	498
574	672	497
575	673	495
576	674	494
577	675	492
578	676	491
579	676	490
580	677	488
581	678	487
582	679	485
583	680	484
584	681	483
585	682	481
586	682	480
587	683	479
588	684	477
589	685	476
590	686	475
591	687	473
592	688	472
593	689	471
594	690	469
595	690	468
596	691	467
597	692	465
598	693	464
599	694	463
600	695	461
601	696	460
602	697	458
603	698	457
604	698	456
605	699	455
606	700	453
607	701	452
608	703	451
609	704	450
610	704	448
611	705	447
612	706	446
613	707	444
614	708	443
615	709	442
616	710	440
617	711	439
618	712	438
619	713	437
620	714	435
621	715	434
622	716	433
623	717	432
624	718	430
625	718	429
626	719	428
627	720	426
628	721	425
629	722	424
630	723	423
631	724	421
632	725	420
633	726	419
634	727	418
635	728	416
636	729	415
637	730	414
638	730	412
639	731	411
640	732	410
641	733	409
642	734	407
643	735	406
644	736	405
645	736	403
646	737	402
647	738	401
648	739	399
649	740	398
650	741	397
651	742	396
652	743	395
653	744	393
654	745	392
655	746	391
656	747	390
657	748	388
658	749	387
659	750	386
660	750	385
661	751	383
662	752	382
663	753	381
664	754	380
665	755	378
666	756	377
667	757	376
668	758	375
669	759	374
670	760	372
671	761	371
672	761	370
673	762	368
674	763	367
675	764	366
676	765	365
677	766	363
678	767	362
679	768	361
680	768	360
681	769	358
682	770	357
683	771	356
684	772	355
685	773	354
686	774	352
687	775	351
688	776	350
689	777	349
690	777	347
691	778	346
692	779	345
693	780	344
694	781	342
695	782	341
696	783	340
697	784	339
698	785	338
699	786	337
700	787	335
701	788	334
702	789	333
703	790	332
704	791	330
705	791	329
706	792	328
707	793	327
708	794	326
709	795	324
710	796	323
711	797	322
712	798	321
713	799	320
714	799	318
715	800	317
716	801	316
717	802	315
718	803	313
719	804	312
720	805	311
721	806	310
722	806	309
723	807	307
724	808	306
725	809	305
726	810	304
727	811	303
728	812	302
729	813	300
730	814	299
731	815	298
732	816	297
733	817	296
734	818	295
735	819	293
736	820	292
737	821	291
738	821	290
739	822	289
740	823	287
741	824	286
742	825	285
743	826	284
744	827	283
745	828	281
746	829	280
747	830	279
748	830	278
749	831	277
750	832	276
751	833	274
752	834	273
753	835	272
754	836	271
755	836	270
756	837	268
757	838	267
758	839	266
759	840	265
760	841	264
761	842	263
762	843	262
763	844	260
764	845	259
765	846	258
766	847	257
767	848	256
768	849	255
769	849	253
770	850	252
771	851	251
772	852	250
773	853	249
774	854	248
775	855	246
776	856	245
777	856	244
778	857	243
779	858	242
780	859	241
781	860	239
782	861	238
783	862	237
784	863	236
785	863	235
786	864	234
787	865	232
788	866	231
789	867	230
790	868	229
791	869	228
792	870	227
793	871	226
794	872	224
795	873	223
796	874	222
797	875	221
798	875	220
799	876	219
800	877	218
801	878	216
802	879	215
803	880	214
804	880	213
805	881	212
806	882	211
807	883	209
808	884	208
809	885	207
810	886	206
811	887	205
812	888	204
813	888	203
814	889	201
815	890	200
816	891	199
817	892	198
818	893	197
819	893	196
820	894	195
821	895	193
822	896	192
823	897	191
824	898	190
825	899	189
826	900	188
827	901	187
828	902	186
829	903	185
830	904	183
831	905	182
832	905	181
833	906	180
834	907	179
835	908	178
836	909	177
837	910	175
838	911	174
839	912	173
840	913	172
841	914	171
842	915	170
843	916	169
844	917	168
845	917	167
846	918	165
847	919	164
848	920	163
849	921	162
850	922	161
851	923	160
852	923	159
853	924	158
854	925	156
855	926	155
856	927	154
857	928	153
858	929	152
859	930	151
860	931	150
861	932	149
862	933	148
863	934	147
864	934	145
865	935	144
866	936	143
867	937	142
868	938	141
869	939	140
870	940	139
871	941	138
872	942	137
873	943	136
874	944	134
875	945	133
876	946	132
877	947	131
878	948	130
879	949	129
880	950	128
881	951	127
882	952	126
883	953	125
884	954	124
885	955	122
886	956	121
887	957	120
888	958	119
889	959	118
890	960	117
891	961	116
892	962	115
893	963	114
894	964	113
895	964	112
896	965	110
897	966	109
898	967	108
899	968	107
900	969	106
901	970	105
902	971	104
903	972	103
904	973	102
905	974	101
906	975	99
907	976	98
908	977	97
909	978	96
910	978	95
911	979	94
912	980	93
913	981	92
914	982	91
915	983	90
916	984	89
917	985	88
918	986	86
919	987	85
920	988	84
921	989	83
922	989	82
923	990	81
924	991	80
925	992	79
926	993	78
927	994	77
928	994	76
929	995	74
930	996	73
931	997	72
932	998	71
933	999	70
934	1000	69
935	1001	68
936	1002	67
937	1003	66
938	1004	65
939	1005	64
940	1006	63
941	1007	62
942	1008	60
943	1009	59
944	1009	58
945	1010	57
946	1011	56
